,bodyId,type,pre,post,size
32184,1408535544,LC24,105,158,136790003
74959,2349337951,,1,20,6753636
50735,1845383887,,29,13,18449119
833,269416050,,16,2,13782393
81274,2469350852,,5,24,9254559
29342,1317212194,,40,104,70351025
67544,2212070702,,16,99,37699955
87841,5812981164,KCa'b'-ap1,245,563,447193387
93185,5813026068,,63,19,123944263
1550,298607679,SLP396,299,962,602811211
48857,1811012154,PLP255,149,172,509012435
30790,1360403585,,63,136,32900656
25031,1198123389,LC10,90,256,216653741
10291,608369629,,147,196,193229166
81708,2492053995,,0,14,493229
15938,847595624,KCab-c,127,289,96835137
35615,1499907599,,36,32,19731617
39296,1597782923,,2,9,6100769
89897,5812999623,HRN_VP4,138,145,100347588
95192,5813056435,,506,4117,1896429993
38642,1578683928,,0,0,85631779
53755,1904376780,,7,2,3272291
82639,2502776961,,10,108,26772569
49732,1823889875,,6,13,3719856
38517,1573189033,,102,150,89781968
30850,1373389914,,31,15,17487424
26908,1252548351,,52,1360,550002835
38181,1566071434,,64,46,51791057
27622,1262498815,,118,342,92447204
66272,2180780757,,0,1199,522447197
10917,637008792,SMP521,137,224,392638860
14545,786441271,,1,21,4695860
56127,1947300308,,20,63,18076242
2662,332168042,,21,51,15751241
25771,1221276439,,41,22,28143106
77461,2403006901,,0,14,4374980
84895,2584934229,,18,15,19511666
70668,2276813300,,5,24,23143700
23841,1165678509,,45,60,44080560
64251,2123719053,,146,493,415375915
16670,863500421,,3,43,9412447
14007,761182838,,240,196,301644173
5317,450026735,,125,236,269193105
42947,1690546759,,4,55,20734809
20787,1042551659,,3,19,6009658
1860,301810548,,50,158,28753271
89980,5813000299,,76,361,68817869
93506,5813033312,,104,283,103958918
38209,1566412219,,26,17,12604143
64763,2134680123,,176,626,411564692
14038,761580655,LHAV4a7,151,355,304324784
87477,5812979168,PAM06_b,248,1195,394753648
5120,425233584,,3,2,4915791
7748,542910915,,1,50,10453562
94898,5813053731,AVLP023,495,2715,1822477565
84596,2563482729,,5,1,5700510
13688,754547386,KCg-m,221,813,356889136
17454,893524804,,0,11,2053527
5438,451187800,,35,27,32138379
85116,2591050792,,5,2,2449521
56426,1950948074,ORN_DC3,32,32,17885497
60130,2032918719,,9,7,4863781
89638,5812997468,,95,288,92935383
83936,2551511694,,0,15,7238737
17070,885513409,CL187,368,1098,1203717751
54696,1917663485,,9,31,7544191
10579,613040803,CRE049,750,2229,1511757943
39784,1620848603,,0,0,135335341
96249,5813077843,,373,65,321456562
54267,1910519295,,7,2,2415442
42219,1671616310,ORN_DL4,52,70,53993806
72466,2310619595,,0,33,3745396
8700,549028403,,4,5,6418997
59410,2013151424,,3,5,1393473
85964,2648324188,,0,0,1021277467
89422,5812995931,AVLP149,102,199,376934262
67409,2209617905,,0,0,51998755
33985,1450749874,,30,72,14531226
26438,1231835107,,8,0,4426264
81153,2467848434,,0,11,703403
85313,2596209604,,1,38,7808829
28256,1285720547,,11,5,10329597
17033,885006946,,0,0,23373187
55572,1936819580,,32,29,28612426
52918,1884953484,,0,0,47686013
75560,2370456464,,10,157,78693445
37937,1563095512,LC11,217,204,161522448
68935,2243109379,,34,16,18152547
63455,2101507726,,3,2,2029791
2764,332845644,,37,117,22403875
68131,2218825949,,20,49,20654393
33008,1435126790,LC12,136,210,148756240
94823,5813049870,LAL072,682,3415,1442475251
59915,2029780520,,12,3,10304862
12547,702506641,IB018,1710,9589,4047658747
31223,1378496848,,3,14,3410314
73101,2316575794,,13,3,14865177
44697,1724660543,,14,65,28543378
77417,2402652708,,6,15,6867223
89213,5812994045,,35,267,172999081
59545,2022726193,,0,0,36363144
36747,1530947751,,25,21,21402801
24572,1189606166,PVLP097_b,596,4538,1152934858
29505,1320252679,,239,98,285786572
19848,1007256095,CL299_a,147,399,319602150
95585,5813062322,,8,19,10936019
9924,582497884,,2,1,1701176
86175,2656496690,,0,0,208516789
84516,2562109740,,0,20,2683791
28146,1284394659,,22,18,16042288
69828,2252295821,,5,3,2925153
28739,1295907391,,110,299,69568624
86151,2655560194,,6,2,5775182
6763,488710500,,6,20,5470213
23422,1158187574,,18,7,18207597
23220,1140012085,,103,528,695923320
16958,883979642,,113,135,187370758
38950,1593047802,,35,41,15931761
2211,328179117,SLP201,78,296,279515073
29423,1319246910,LC16,163,297,217456120
47139,1779221851,Li17,1098,3529,1442867540
18329,939738399,KCab-m,222,568,311899338
9732,580403798,,7,3,8666732
79554,2436614312,,2,8,1602615
79308,2435052271,,12,16,6575907
66432,2183086498,,70,97,44260602
67710,2214397830,,2,23,13667820
41122,1654802248,LT81,84,168,319266301
51989,1872366213,,77,117,58049472
65024,2149464834,,63,22,51555250
1570,298749653,,93,188,146708910
72098,2307239622,,26,17,14725248
33774,1448587060,LAL050,144,661,247702378
67480,2211327569,,6,9,5356733
52558,1879126301,,21,12,13904774
95729,5813066299,,71,96,59500379
29494,1320161198,,0,69,11972243
933,270766900,,42,98,17214081
18571,945483923,,497,269,692492348
68075,2218144517,,6,28,6262993
39252,1597122754,,47,47,30140496
74536,2344524826,,2,53,11034223
43651,1701960169,ORN_DA3,37,46,40380645
77050,2399708595,,50,3,35088398
15131,799392124,,31,67,28411401
56201,1948512982,ORN_VL2p,132,149,101642805
52873,1884258757,,8,10,3564274
86147,2655551160,,15,9,11266682
97686,5901217539,LC34,375,691,592664540
16050,849870887,,0,10,1773489
70698,2277166128,,7,16,8337739
17283,890425079,FS1A,96,1193,322961522
46258,1754668096,,5,6,3399306
84870,2584100299,,2,2,657819
66269,2180690130,,25,120,30631449
94528,5813046686,,19,213,119032041
9091,551427771,,1,12,3533109
30069,1345397641,vDeltaA_a,117,516,185405243
84031,2553251869,,5,7,4593094
71149,2280943970,,4,0,3063012
11803,672528512,,2,19,2874258
55964,1942888665,,10,21,10065139
60244,2034132170,,749,384,1005404002
10182,605770509,SLP002,150,453,494497063
95815,5813067943,LC9,178,486,472300346
53652,1903042848,,15,10,7633701
87811,5812980992,KCg-m,227,751,372794530
76416,2377122680,,3,15,3768622
89163,5812993740,,11,3,11225601
21678,1077684918,,26,29,13479062
44403,1720905280,,35,45,31017034
11863,673509195,MBON01,2205,29244,6713237576
72308,2309203689,,3,10,3604722
23822,1165340511,,9,48,13881315
27550,1261592479,AVLP486,114,102,365896162
149,204617833,,0,66,28952824
29109,1314730232,,72,79,51684460
5389,450846360,,18,59,24802068
26743,1249932198,LC4,344,1460,752655163
35433,1498203257,,40,23,32797483
33459,1441498763,PFNp_b,44,124,128861177
45826,1750203103,,3,23,5837882
74848,2348091137,,10,16,7844773
53679,1903361345,,8,2,2408839
83813,2535780509,,4,30,11228851
85572,2619400686,,26,14,22729638
53860,1905740059,,18,8,7015887
51295,1853889098,,5,23,4302670
85883,2643614699,,7,4,6258345
60680,2041483448,,0,0,98631874
82947,2522401631,,3,21,5212496
30690,1356661613,,2,16,3766624
45233,1734718209,ORN_DA3,38,69,19845328
90892,5813005905,,35,33,32714512
94790,5813049397,,33,18,33927549
86159,2655883555,,5,6,5931422
26561,1234567194,,6,15,2872147
63088,2094725313,,69,89,45157443
97690,5901217841,,107,168,76885093
81892,2493430566,,57,28,30631912
95565,5813061974,SMP450,79,973,430254554
30082,1345484296,MC62,59,41,45091726
52951,1885601352,,6,18,26354616
10021,601958168,,0,0,85626590
76481,2377955442,,8,6,5351450
95063,5813055317,,0,45,9126307
93334,5813027592,SMP376,927,6160,2619111860
23844,1165685038,,0,0,49847970
52345,1876069463,,8,5,4576302
38945,1593034384,,21,58,18349465
28447,1289121491,,13,3,11689789
50928,1848074809,,10,45,12508026
57432,1973625314,,22,26,25290545
70101,2257502282,,157,15,200475238
30211,1347111984,,4,4,2141054
81831,2492878297,,12,219,82415549
6423,484571741,,7,9,8610012
40040,1624733971,,21,19,12508711
19108,972991666,,0,12,2106188
19968,1008788470,,17,35,17495811
32263,1409541174,,16,20,15198398
8452,547344214,,75,826,245604460
17471,893805187,PAM08_e,146,529,333510589
5073,424880059,,4,7,6652460
47896,1789100051,,57,8,34627467
41396,1657992838,PS067,38,1102,1305738729
66396,2182680577,,20,8,16303024
56242,1948944967,,0,23,1448496
18520,944279284,,0,0,191789908
7112,513943392,,3,1,3681803
39200,1596413991,,5,1,1864447
16816,880906272,,2,29,7292592
22189,1104799179,,19,47,35651598
34706,1472274724,,7,28,5605940
82684,2503459496,,3,9,3185494
53794,1904731138,,4,2,1960464
73448,2334827924,,0,0,56178959
30672,1356061127,AVLP230,308,636,461238996
3030,358371680,,0,0,224947811
66875,2188508018,,3,8,3394551
96115,5813075753,ORN_VC5,136,142,134149359
97740,5901222742,aMe6b,373,1006,562182589
75488,2369960119,,5,1,2682505
53903,1906116138,LC24,94,139,118891826
342,234974634,,0,13,2838389
49283,1816056019,,24,17,19600803
41241,1656157224,LC12,133,166,231098713
59230,2010582646,ORN_VL2p,125,187,111783786
62026,2070813501,,5,29,75505202
6426,484609760,,7,7,31764998
74802,2347408346,,2,15,5068535
50059,1836184315,,0,0,70158802
36750,1530960736,,14,17,9205204
76789,2396517868,,0,2,53082514
274,206327066,,5,5,8146007
58594,2000593482,,30,30,21641313
40466,1630708776,,121,71,128878601
5134,425462513,SMP258,232,529,601670591
46719,1764211306,,6,10,3154947
77941,2406452871,,5,13,3868587
85877,2629308034,,1,20,2872272
22848,1133484841,FC3,161,965,331102252
87457,5812979048,aMe6a,404,811,1127109183
18652,946667252,IB115,689,375,821648375
8936,550322829,SMP602,369,418,992614409
45732,1749228678,,35,51,28386452
81651,2491665136,,32,140,75795047
20458,1035562328,KCg-m,256,763,383186769
74046,2340937821,,4,4,2798510
20356,1017448980,LC10,144,294,359000365
83331,2526312986,,1,17,3609651
85865,2628285066,,2,1,2679011
89500,5812996627,,9,2,13284416
66821,2187921545,,221,18,196018315
72408,2310226205,,4,3,3032722
20680,1040117228,hDeltaJ,218,1305,548300342
76904,2398270945,,22,10,13817482
66933,2189284695,,5,505,268053379
68090,2218192172,,2,5,2313766
34719,1472537557,PFNp_e,60,189,119345306
43198,1695066320,WED110,251,500,620932726
45271,1735071492,,12,19,3941761
23963,1167554951,,62,26,89168284
1419,297917459,SLP388,871,1205,1123192007
75162,2366225707,,0,0,70138478
21047,1048703450,,3,11,2168200
39523,1602531994,,75,505,245583974
60456,2037749371,,0,0,257322923
93043,5813024866,,27,92,29574899
63848,2117903909,,15,72,17958742
4272,393340402,SLP015_e,146,548,572648986
83208,2524927101,,31,19,19755084
84772,2567164933,,3,0,929947
18727,947738387,,5,6,4139571
95152,5813056110,KCab-m,196,513,279937363
17703,912609736,,0,0,129031272
78418,2427885311,,0,7,51795587
92326,5813019482,,24,2,36638840
73629,2337215316,,7,4,2702185
40871,1651516452,,0,27,6464986
21578,1074618485,,6,5,2668524
23105,1138057211,,3,0,1110466
60780,2042800598,,3,14,1234733
90844,5813005663,,2,22,7676994
94094,5813039880,SLP111_a,67,187,339870723
73943,2340121959,,9,3,8494751
11425,663044088,,2,1,128279813
56216,1948651537,,41,86,27053313
23568,1160837283,,1,220,618404829
15774,829412547,,6,14,3411595
72185,2308189125,,12,50,32217788
65340,2153454486,WED095,198,546,431647913
6724,488011955,,87,114,74458700
8641,548703746,,5,6,4124659
81457,2488431102,,0,0,62773683
95306,5813057349,,7,7,63838071
24788,1193202605,,220,151,205262605
77836,2405718110,,15,5,14974300
78803,2431654337,,26,29,15013116
64931,2147206995,,0,9,51406192
53623,1902735825,,36,69,32284995
66174,2178414939,,0,27,1482910
45257,1735054881,,17,24,10855557
57762,1980411752,,5,14,2746967
12757,706045445,,0,0,72145079
1714,301119668,,15,38,12076415
73349,2320456676,,0,0,65588196
9510,577002036,,13,9,9696551
82490,2499266930,,0,0,27373831
13804,757111564,,8,61,26890833
14668,789070314,hDeltaK,251,812,670925904
48318,1796075469,ORN_DA1,57,45,54131352
64152,2122652647,,4,5,3803417
48358,1796795993,,7,29,8074486
44969,1730617033,,950,562,638315992
80996,2466441072,,10,7,8806533
69347,2247824261,,27,30,17091513
52293,1875395707,,2,1,2287768
71664,2288951243,,1,30,4150202
24605,1190241021,,31,13,20624728
59043,2007720975,,2,0,1270907
91206,5813007741,,69,60,185057554
32892,1420776983,,3,16,1384938
34796,1473638847,,5,3,3091257
466,237703661,,2,2,3510538
74436,2343695088,,15,31,10433063
35973,1504351611,,6,19,4817249
3716,364894576,,6,55,10682978
96717,5813093521,,143,322,76168301
60768,2042736270,,55,63,63997133
94995,5813054708,,592,2548,562829392
69387,2248156459,,7,9,5695187
36991,1534013303,,8,4,10021472
42165,1671085497,,70,237,44618427
63254,2097731032,,2,3,1343601
34272,1467167227,,25,19,17836275
37735,1560954095,,3,21,9075611
25253,1201093753,,161,376,125749018
48142,1793351123,ORN_DL2d,176,163,172330654
70809,2278168559,,15,20,9732380
59512,2014398891,ORN_VA6,41,42,19256277
21317,1070189578,,53,125,220519635
27158,1254801938,,26,40,32061517
41124,1654818612,LC11,350,526,544545534
57218,1970223587,,82,86,84885987
9783,580787883,,69,319,54087378
7117,514060419,LHPV4d3,112,203,253491053
4699,420571563,SLP367,65,193,267500735
91857,5813012997,,1,76,36194191
88994,5812992357,PS279,267,672,886924011
81759,2492394678,,2,19,3621598
37728,1560734467,PLP078,13,2846,2382678905
92400,5813020388,PLP012,982,4099,1834908883
84074,2553554096,,5,22,10702945
84948,2586250149,,0,0,63021842
48961,1812347387,,97,104,68277931
26963,1253001671,,58,69,50470025
33847,1449705292,,54,129,32682958
78296,2411191931,,3,2,1181046
73460,2335126325,,44,35,28413540
79912,2441052144,,10,53,45644211
56560,1952311688,,6,13,5327468
35439,1498220294,,71,55,42586978
77594,2404017486,,3,32,7951109
9434,575305924,,155,243,212896895
38460,1571850985,,75,69,58869965
69297,2247336031,SAD078,166,873,624159837
43204,1695178970,PS270,158,300,347926736
61614,2063958299,,3,8,3094858
24413,1173524922,,10,19,6372303
38023,1564006393,,47,19,37095180
42307,1672643988,ORN_DA1,63,40,67018197
97871,7112614961,,49,86,50014147
90977,5813006437,,98,317,175610221
19660,987312424,,4,3,3059032
81893,2493430970,,5,23,7285585
89800,5812998855,,25,7,14011060
23174,1139153150,MC61,37,54,54969100
71898,2304820831,,19,49,17799927
91078,5813007154,,13,354,215445313
66402,2182714349,,1,31,4142157
90639,5813004521,,0,14,423665257
53750,1904367914,,7,3,3290979
79221,2434452628,,17,29,13754126
61595,2063346008,,125,448,174679631
13953,760358472,SMP017,140,730,510312108
7144,514583142,,26,273,186624787
95749,5813066774,,3,19,22407055
28813,1298005685,,150,408,89318622
41374,1657801639,,6,0,4573964
72593,2311590165,,2,1,1227514
93964,5813039011,ORN_DL2v,207,250,195131006
83844,2536471300,,2,2,2341403
86630,2706699060,,15,8,13903270
71929,2305157455,,2,35,4576105
23996,1167995070,EPG,476,3874,960598574
55108,1922295855,ORN_VA1v,53,39,52068855
9506,576864518,SIP012,104,342,290213235
73330,2319986544,,0,13,1225734
72306,2309203402,,2,6,2213853
89384,5812995500,,14,19,7406978
48958,1812312755,,48,47,37651193
83903,2539920376,,2,4,17751571
2530,330761158,,11,9,8025123
87704,5812980395,KCab-m,198,478,167373384
48272,1795246391,,2,7,2974524
96236,5813077806,,8,3,10139544
25670,1219579362,,41,29,27561247
16200,852948763,,0,0,111034537
56277,1949324494,,4,15,4966036
43567,1701110090,,99,405,90417682
78417,2427885287,,0,1,41924913
70914,2279191595,,38,21,24042917
37883,1562650897,,10,3,8861348
30464,1350837738,hDeltaA,410,3646,789914658
24540,1189221854,,86,70,66419264
27017,1253511078,CL348,110,411,334541761
83738,2534144645,,22,18,18744180
92763,5813022945,,0,2,526421268
94980,5813054534,LC36,189,208,422061318
36464,1526849637,,10,6,5638364
4684,420485311,,3,7,3652301
31208,1378393109,PS008_b,77,213,207442176
69637,2250405546,,9,14,9433348
55496,1935800413,,16,28,13601076
16400,858962600,PS008_b,57,144,168901496
76879,2397925415,,5,11,6188630
37608,1559271571,,23,13,13602589
92168,5813017405,,18,24,9290068
95433,5813060170,ORN_DM1,158,251,179462043
93514,5813033382,,0,232,53329984
80479,2462754158,,3,9,4617594
23615,1161857479,,132,116,118865789
62189,2072829512,,3,4,1050015
21849,1098836517,,1,20,4537157
40700,1637003047,,4,4,2965081
64452,2127427238,,5,4,1582657
86868,2717275756,,6,4,14552102
27316,1257759392,,4,1,3324413
20683,1040161671,,12,105,30072936
1348,297230760,5-HTPMPD01,1660,4749,2406556060
31338,1380857349,,9,11,133640956
38109,1565053020,,28,16,14691684
53717,1903745463,,51,77,40936644
59952,2030230069,,6,3,2258777
66090,2167562491,,11,45,14924588
22895,1134409467,,363,145,253091094
756,268043827,,69,99,87127289
46199,1753942901,,13,73,32803422
8018,544611327,,16,15,14783844
25844,1222272693,,1,89,50411356
85106,2590770294,,19,9,31420485
82055,2494781588,,0,13,1829685
11846,673189141,,22,44,28286480
63714,2106847811,ORN_VA2,66,103,44196634
68909,2242760202,,76,67,48638043
31418,1382238852,,6,1,2574388
75181,2366838980,,9,5,12812050
2771,332853759,,43,110,23194032
31482,1384065958,PVLP030,245,823,907942590
2946,357224041,LHPV5l1,1252,3696,2184662669
31564,1387000557,,11,49,19098417
16666,863331646,AOTU003,227,610,530325498
40628,1635893275,ORN_DM3,82,123,68186911
63375,2100454078,,5,6,1907259
13309,732777416,SMP321,193,1154,623186242
27071,1254006917,,7,0,1773326
92650,5813022082,,126,417,84944004
63939,2119324039,,48,58,43794148
70,203598505,,120,222,158917302
57182,1969545161,,46,47,36952723
73930,2340008660,,30,4,18491564
70919,2279208241,,7,15,5884547
75302,2368207337,,43,48,27782286
74713,2346091034,,0,0,87871557
56466,1951081986,,6,42,6748567
76159,2374916644,,6,5,6846713
2357,329220439,LHPV5d1_a,153,378,394716082
89250,5812994357,PS077,172,296,277790755
6411,484359937,CL093,541,1942,1646319044
58795,2003253670,,9,157,38297486
11250,643773259,CRE034,213,847,546686963
34267,1466998977,DNp05,73,3517,2366085320
18903,952166828,FB5K,610,3583,1132282137
25653,1219462308,OCG08,6,152,331160198
4881,422501540,,6,8,9300651
19349,978249801,CL347,91,353,362073564
30724,1358003660,,68,194,42980661
53981,1907091734,,6,0,2315753
42116,1670623676,ORN_DC4,194,213,197400336
40191,1626435683,,52,54,30671081
21109,1051980223,FB4F_a,401,1815,724270517
58750,2002904256,,2,2,1835552
95039,5813055055,,32,21,20598409
30859,1373721774,,71,105,51417937
31809,1392655948,KCg-t,235,744,335485713
11307,644529212,,586,2557,822968506
7055,513214039,,0,19,20076691
40554,1633333063,AVLP269,126,410,499626399
15820,830431746,,10,27,5976357
29068,1314380670,,23,12,12782717
37240,1537073263,,18,58,30917847
61107,2056493912,,24,67,35942221
59920,2029863007,,6,1,3696064
18490,943592989,PFNp_b,33,142,115633533
56187,1948328305,,32,63,23767701
6529,485982231,,10,6,7020050
60149,2033087464,,273,67,329065571
23024,1136472342,AVLP130,106,513,605162811
51815,1870767995,PS055,126,300,366352370
93701,5813034775,,92,241,134753281
77063,2399919806,,2,0,618293
2873,333536377,,22,51,14454944
31011,1375470186,,43,21,56232459
84042,2553402858,,7,15,6784458
90299,5813002533,,40,26,22137461
53559,1902316917,,2,0,1612406
88298,5812983886,CL346,102,442,388455790
1910,302147280,,33,70,12608856
29133,1315084914,LC25,106,164,233857656
35475,1498556854,,57,50,37026467
60320,2035315606,,3,1,3224696
21289,1070103072,FS1B,93,328,220088590
94431,5813045636,,13,14,245460783
80760,2464796604,,26,35,15800568
32181,1408513562,,16,7,6780545
17062,885345015,,3,10,3602942
35908,1503581667,vDeltaF,107,684,241042151
9804,581064348,,109,142,279426921
51010,1848820426,LC17,219,311,320233764
11321,644900385,,1,11,2330706
11776,672002621,CRE063,194,427,352039629
14766,791039731,AOTU063,848,3431,2071997167
54191,1909500840,,5,16,9279042
85319,2596214664,,4,10,8178420
5928,456976370,,2,0,17763839
43274,1697371277,,0,0,26222921
19997,1009051653,vDeltaE,137,769,312392846
15724,828485538,AVLP055,167,397,517155839
17606,911220126,vDeltaB,104,618,262516003
38804,1591333349,,35,33,19483880
63341,2099569651,,545,691,1071556491
79043,2433399276,,5,17,5428600
42121,1670631838,ORN_DL3,29,28,29860991
26494,1233281209,TuBu08,71,388,223761735
13858,758588355,PLP239,443,844,1034616842
64304,2124703593,,4,5,3439631
74768,2346941934,,6,10,9033363
9620,579048535,,13,17,6972263
94781,5813049198,,4,55,167250093
75511,2370266723,,0,15,857480
69304,2247474404,,2,4,1745048
43434,1699738250,,1,42,16967370
50490,1843036618,,60,44,38967463
18086,919624822,LAL078,169,636,361140902
71174,2281242401,,7,14,7621690
63364,2100143605,,37,60,46836185
83352,2526645939,,8,5,16341387
73742,2338545393,,23,9,16371068
7217,515990596,,4,9,5916445
54949,1920379328,,11,11,4810532
57259,1970858164,,68,57,37114727
67418,2209657020,,0,1,59366207
32787,1420073225,,63,148,35418395
83077,2523719258,,2,22,6458367
48714,1809597003,,27,19,13838726
45151,1733841337,,57,270,53466237
88849,5812991298,,38,6,142908781
71949,2305451641,,3,46,45720928
24493,1188540415,,8,39,18505559
34292,1467215681,,31,52,30957535
5219,447427037,,11,73,131454579
880,270430276,,32,101,17577367
6232,481881874,,3,23,6852152
67177,2194612184,,11,22,20553917
19921,1008378448,FB4Y,1791,6301,2716937442
2996,357949102,SMP222,180,832,636465119
96104,5813075619,SLP393,347,772,919668125
32012,1406440258,,0,3,168784412
65279,2152720847,,31,26,16269421
49074,1813563837,SAD057,146,517,1236744402
64481,2127897469,,204,153,966522030
63892,2118577429,,33,26,30636307
93157,5813025876,,0,46,14905275
48023,1791495409,,4,34,7309473
19712,1003348703,,0,0,23747676
7335,517696820,,6,7,5584883
38837,1591666343,,64,41,40866619
45516,1747228863,LC9,52,149,171259951
88192,5812983152,KCg-m,222,829,360458277
28501,1289574568,PVLP133_a,202,568,340280567
19878,1007774213,,3,11,6695650
19842,1007048788,,44,16,37606451
27803,1267963803,,36,113,22000812
72159,2307856778,,10,2,9769135
88960,5812992049,,9,81,44517562
97444,5901204637,ORN_DL3,29,21,20055885
46634,1762489567,,6,41,12124246
1866,301810666,,35,92,16647017
66218,2179762114,,53,64,55776680
86943,2739103159,,2,14,5263011
69819,2252261671,,32,22,22406416
1248,296301644,,0,0,151449784
48382,1797133109,,5,5,2922662
27642,1263037872,LAL110,250,573,477510075
40249,1627117134,LC4,264,309,476956593
36856,1532306823,,5,2,3813751
33019,1435450845,,50,40,33233625
73392,2333416376,,0,1,55294283
59680,2026491717,,48,20,40145219
61106,2056490256,,2,1,3552080
34222,1466149118,,27,14,16161050
74863,2348275568,,17,109,23366216
5052,424591587,,2,0,1790040
8296,546316427,SMP133,203,891,800826102
85592,2620756136,,2,7,1718608
38269,1567094348,,16,11,11001414
80091,2459649648,,2,1,3631643
27582,1261902715,LC10,32,72,52577625
30839,1373380734,,6,55,21040470
22197,1104971861,,4,24,3961496
25971,1223383793,WED034,185,318,490838676
54483,1913601211,,0,0,208827397
41468,1658963980,PLP220,102,1057,417612632
24812,1193539096,AVLP177_b,326,1447,890771807
90039,5813000686,VES049,295,1057,791389771
61414,2060958692,,44,78,50515382
11761,671660941,SMP568_a,237,881,632397748
84777,2567186385,,6,5,9846815
88052,5812982361,,18,50,19601169
11466,664007118,,7,49,31935302
36823,1531975908,LC12,152,186,229888382
92830,5813023473,,1448,603,1483952822
23211,1139835387,MC61,32,18,60376567
22125,1103434619,,10,18,8489777
44178,1718175993,,57,54,36801859
19130,973669363,,2,16,3985665
24890,1195010798,,6,2,4293371
13080,728633073,WED092,514,164,448943837
8619,548634799,,112,68,246158813
29633,1322562002,,4,0,1769972
81394,2472721908,,3,54,24664126
96841,5813103363,,32,141,137195541
13274,732038716,,305,295,258018867
36291,1511240183,AVLP240,89,159,374256763
70479,2274964865,,0,28,5644094
77648,2404367154,,12,13,20467614
17213,888171826,LC41,229,284,477623456
79374,2435440857,,4,16,4090143
91811,5813012231,SMP117_b,252,1104,960851757
52552,1879116973,,11,13,7132802
61076,2055492653,,52,39,39080597
36502,1527877980,,3,19,2751690
27101,1254331599,CL262,305,2387,1196423435
13644,739006671,,177,103,182559615
80524,2463099989,,3,8,4128056
47422,1782006592,LC12,139,131,198901857
73774,2338882531,,20,9,15926148
2280,328601956,CRE105,492,1995,1150202676
3394,361636071,SMP105_a,85,352,340268553
60808,2043154978,,3,17,1535712
29115,1314820316,PLP150,243,600,579950396
29325,1317130493,,36,74,54700876
2805,333182267,,35,109,21416552
66806,2187808954,,32,19,18860691
5799,455626213,,25,21,15025476
39143,1595400878,,11,6,7135250
52138,1874036161,,9,30,10916838
80298,2461442011,,0,23,6325648
12269,695629525,EPG,472,4153,1239801790
35038,1480399193,,32,85,20455929
50856,1847379268,,12,69,41311851
47008,1777909910,,31,155,37692206
1221,296017719,,3,7,33098745
93154,5813025870,,11,7,9449689
62921,2092343218,,79,94,57063862
47776,1787006265,,40,131,32113840
69761,2251588495,,18,9,8399402
5428,451183422,,41,20,37176230
87878,5812981341,KCa'b'-ap1,231,647,457579684
31839,1403742159,,13,9,15315828
66975,2189868882,,8,18,6441789
25913,1222955000,,15,8,9271493
33949,1450413013,,65,134,27983948
7178,515295445,,8,17,6558063
26318,1229849064,MC61,28,32,62902910
43713,1702647113,ORN_DL4,86,133,79743665
9494,576678284,,123,244,209378445
27667,1263663953,LC9,209,443,455335920
20629,1039492068,,2,4,8380443
8473,547663886,,6,4,5964628
26665,1236276873,,99,273,45777725
58439,1998181145,,19,13,9011644
19805,1006072867,,3,9,561800569
82007,2494255042,,1,30,5020493
96962,5813127603,FB6M,306,723,848460740
81169,2468132741,,0,16,405289
92701,5813022574,,149,69,103458922
30004,1344724333,,4,462,836437093
58347,1996864338,,21,24,20738733
34502,1469550083,,6,2,4590140
3085,359027729,PI1_b,4,664,4874793127
42617,1686161216,,39,61,33369030
47214,1779904708,,19,23,19271103
93141,5813025828,,25,0,22245805
19090,972305488,,0,42,3239032
655,266631108,,0,0,134423026
1255,296358430,,11,1009,899675471
82360,2497168952,,3,8,4145072
51420,1856281112,,8,18,6241471
59901,2029573063,LC24,88,123,112187751
29111,1314747047,Li19,244,435,398425825
30092,1345756496,,28,17,16084922
76736,2383731281,M_vPNml51,233,720,535235283
89281,5812994728,,56,316,84739101
45829,1750216501,,7,0,5294633
46744,1764863505,,11,11,5592916
6399,484230289,,1,53,9095779
22338,1108446553,MC61,23,39,36308245
16446,859757838,,7,9,4173113
11622,668441250,,0,15,2899294
32384,1411262721,LC10,66,170,162174428
86798,2713882811,,4,2,5724698
36953,1533355907,Li18,120,141,207326703
39445,1600208885,,114,60,144307077
38263,1567089270,,2,4,1744440
23629,1161946749,LC14,0,135,560540788
34203,1465461952,,3,11,4059664
69919,2253834210,,12,1,14091418
88752,5812990509,,29,35,20666143
87422,2868974742,,0,0,102538033
83787,2535102767,,2,4,5237034
57362,1972253129,,3,3,1845244
71501,2285675445,,3,10,6284047
13002,726076678,,18,37,17802434
35414,1497875250,LC11,234,562,361432084
15466,821617263,LHPV4d7,196,372,358559740
47142,1779222682,,15,10,6820944
58404,1997831040,,4,6,3325442
32276,1409872393,,22,18,10713306
94884,5813050813,,311,466,422534665
73476,2335462829,,8,8,4113573
60448,2037487164,,150,20,120219931
66856,2188361989,,124,33,98701327
38378,1569139270,,23,56,27109353
24388,1173063302,KCg-m,263,769,371791356
58116,1994420169,,10,7,7437365
33104,1436680646,PS246,28,309,289940936
26735,1249923551,,48,22,27408523
23288,1141337557,PAM08_d,334,1707,427493806
2040,326159593,SLP097,53,152,204614536
90252,5813002250,v2LN34B,114,434,173417421
13738,755466552,,0,0,114191609
15922,847457458,,0,0,138124949
68198,2219508723,,2,1,1569067
51326,1854536305,ORN_DM2,117,198,102508243
67999,2217181916,,18,39,11998039
