,bodyId,type,pre,post,size
89865,5812999351,,5,48,22141571
66926,2189182046,,5,13,8831628
10407,610385481,,59,76,148237169
40380,1629158930,,2,3,2788044
31717,1389720565,,56,129,27808940
19845,1007100405,,0,0,38710336
65974,2164816415,ORN_VC3m,61,59,27373069
78320,2413359014,,14,16,23180149
77556,2403676901,,31,21,24484401
63276,2098071378,,7,0,3133094
20676,1040056887,FS3,79,838,227937789
79194,2434369472,,43,48,20478446
79765,2438122200,,2,3,2815342
18012,917328669,vDeltaA_a,58,192,128463944
47370,1781328716,LPLC1,392,908,683509553
18647,946641278,hDeltaC,260,1270,561494555
13108,729306452,CL195,116,436,296706561
19554,983767602,FS1B,105,1232,298117787
33090,1436474617,,3,8,3073294
91580,5813009653,,388,391,403320137
34144,1452135586,,27,75,17965048
50781,1846067133,,2,2,4349005
95958,5813069072,SMP287,359,1801,2575884024
89640,5812997512,,84,27,46755972
65860,2162222244,,42,35,41577812
39777,1620667669,LC12,129,181,133151116
44151,1717842403,,11,7,7437468
21377,1071209229,,6,2,2908547
50134,1838886957,,0,6,258205357
39331,1598456111,,3,15,6848203
6235,481890090,,4,11,4240648
95806,5813067836,KCab-m,186,499,149678318
65328,2153385451,,66,86,40366427
47154,1779278508,,51,110,51676432
49106,1813991229,,15,52,28801024
90082,5813001027,WED168,165,253,494437768
5982,477451617,,0,1,86868294
45561,1747625669,LLPC2a,54,40,63892806
53267,1889348482,,11,7,5898104
49980,1827982943,,0,47,7625877
2687,332495967,,37,109,19154308
72916,2314184732,,3,4,3543870
4280,393503882,,98,56,287824865
77896,2406077247,,5,1,4092117
49078,1813658741,,1,318,57674060
39953,1623409545,,27,43,14836777
21499,1073428001,,708,680,620830978
74585,2344887502,,6,3,7452091
25965,1223317955,,8,9,3783976
66340,2181704117,,30,35,13633914
90519,5813003828,,52,43,45495185
46331,1755860078,LAL124,332,2434,1320886997
48941,1812069664,WED026,182,481,293738668
18045,918084078,,4,0,2119989
89476,5812996306,,10,54,25702277
97551,5901209408,,0,57,30067711
81655,2491677882,,15,18,7037019
6152,481121605,PFL1,329,1916,1365074914
32999,1435110005,,4,59,22827430
11614,668152044,LHAV2a4_a,250,327,460899305
80668,2464239351,,6,10,11524879
79667,2437171556,,25,16,14651382
30590,1353250797,,66,39,54628732
42643,1686458783,,17,72,19316286
50989,1848777140,,41,35,12650469
34141,1452131337,,36,82,20564695
58038,1984024682,,5,3,2274330
42909,1690205162,,2,0,1354527
30942,1374750235,,29,3,23002237
11133,642335523,KCab-p,240,681,367954715
16929,883121695,,1581,2591,3174353558
33286,1438861802,,23,11,11887214
11751,671510020,,9,3,4584903
96428,5813080272,ER3d_d,325,1216,460745975
56838,1965151562,,51,114,57045563
65259,2152426385,,5,6,40682520
57843,1981408958,,20,20,11918122
90057,5813000835,ORN_VA1v,104,126,84932796
31780,1390942076,KCab-s,243,622,349860306
87804,5812980956,,0,500,153257412
48653,1808931985,,92,83,59302582
8842,549726936,,17,7,17169412
94076,5813039774,,5,0,5487555
36457,1517499122,,0,0,109080884
81467,2489104743,,7,3,13082196
57517,1976344578,,2,4,4213560
73418,2334102837,,0,3,61637102
56040,1944969126,,3,5,9399479
8085,544961503,,2,11,3316660
21069,1049510640,LC10,108,345,299962652
35244,1481827771,,5,6,2624673
12548,702511002,,78,1194,645447925
43509,1700635521,ORN_DL2d,89,77,120322966
86947,2739438848,,2,0,2479380
72135,2307571498,,32,61,30461858
47868,1788676257,VP3+_l2PN,453,691,820192927
788,268393863,,4,4,3683775
80569,2463484440,,31,10,54244885
24735,1192234894,PS256,94,464,459160144
43695,1702457178,,5,49,10152621
50752,1845449270,LPLC2,220,418,393999087
63390,2100670439,TRN_VP3a,742,695,580051656
92477,5813021023,KCab-c,154,422,215873645
39719,1609248846,,0,0,281077806
14544,786441269,,2,12,9016920
24010,1168193427,AVLP300_a,367,605,882663032
3786,387407870,,0,0,96413341
95468,5813060799,KCg-m,234,784,339865161
48772,1810243768,,1,21,5619764
89901,5812999644,ORN_VM4,29,30,18131253
53146,1887902410,,57,243,65003871
17613,911232821,hDeltaC,260,1488,569093750
69807,2251955514,,3,10,3331537
96537,5813083359,CL198_b,98,480,384800203
75030,2351150490,,0,0,40708460
89869,5812999382,,39,81,52226012
69065,2245094997,,20,83,35378242
4419,395247616,,3,5,592304
85354,2597202619,,0,25,4392640
86962,2740126032,,3,16,6771470
52952,1885605915,,3,10,4434678
10630,613817604,,39,156,114982934
55523,1936287309,,706,112,360868647
31448,1383292291,,47,58,53317731
5058,424716408,LHAV3k1,1330,2477,1852588365
66850,2188185153,,35,28,34466630
45055,1732451471,ORN_VA6,15,18,56360633
44483,1721659644,LC18,161,134,102536634
82767,2507154314,,5,14,3953493
78817,2431693862,,0,32,4342087
71286,2282299270,,9,3,7046723
67871,2215959998,,1,12,6964383
83115,2524064178,,14,19,7876403
16765,879887049,,2,15,4176897
95026,5813054921,,33,37,18161320
56502,1951638471,ORN_VA6,99,111,86126055
20172,1012479733,FB4Z,131,1167,307614084
27534,1261432052,ER3d_d,308,1072,408158416
97279,5901198677,,56,53,37258433
31252,1378842280,,55,48,25244565
36758,1531002753,,0,4,117176097
36430,1515245768,,6,12,2831086
58010,1983700918,,2,3,2081641
93064,5813025198,ORN_VA1v,102,99,66922438
36034,1505356469,,26,29,22729555
5005,423913629,,4,98,95305231
34119,1451785990,,41,111,21660012
94283,5813042613,,66,25,69526763
75460,2369654137,,68,93,32750695
42482,1684792826,,10,41,19514814
93002,5813024618,ORN_VA1v,86,107,71043185
19729,1004126566,,92,51,141793229
60505,2039096269,,2,1,1332371
70758,2277701511,,3,2,5632329
70707,2277183295,,10,7,4977835
12925,724371585,,1,21,8995162
86538,2686577159,,4,4,5870972
47827,1787740265,,97,30,61019942
4449,395601886,,17,92,9549679
76406,2377084084,,40,137,40969237
92144,5813016830,PFR_a,429,1753,506356008
24212,1171548392,MC61,69,146,86318160
15681,827432118,PLP180,315,630,540458566
84784,2567855268,,5,5,2579205
