,Unnamed: 0,bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
1419,4162,392178077,,,3,5,27,5,1,3155612,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 3, 'post': 5, 'downstream': 27, 'upstream': 5, 'mito': 1, 'medium': 1}, 'SMP(L)': {'pre': 3, 'post': 5, 'downstream': 27, 'upstream': 5, 'mito': 1, 'medium': 1}}",,"['SMP(L)', 'SNP(L)']","['SMP(L)', 'SNP(L)']"
1420,67091,2192907250,,,8,5,46,5,4,9776063,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 8, 'post': 5, 'downstream': 46, 'upstream': 5, 'mito': 4, 'dark': 3, 'medium': 1}, 'ME(R)': {'pre': 8, 'post': 5, 'downstream': 46, 'upstream': 5, 'mito': 4, 'dark': 3, 'medium': 1}}",,"['ME(R)', 'OL(R)']","['ME(R)', 'OL(R)']"
1421,97854,7112614743,,,69,51,597,51,17,42497912,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 32, 'post': 35, 'downstream': 257, 'upstream': 35, 'mito': 9, 'dark': 5, 'medium': 4}, 'SMP(L)': {'pre': 32, 'post': 35, 'downstream': 257, 'upstream': 35, 'mito': 9, 'dark': 5, 'medium': 4}, 'INP': {'pre': 37, 'post': 16, 'downstream': 340, 'upstream': 16, 'mito': 8, 'dark': 6, 'medium': 2}, 'SCL(L)': {'pre': 30, 'post': 10, 'downstream': 277, 'upstream': 10, 'mito': 7, 'dark': 5, 'medium': 2}, 'ICL(L)': {'pre': 7, 'post': 6, 'downstream': 63, 'upstream': 6, 'mito': 1, 'dark': 1}}",,"['ICL(L)', 'INP', 'SCL(L)', 'SMP(L)', 'SNP(L)']","['ICL(L)', 'INP', 'SCL(L)', 'SMP(L)', 'SNP(L)']"
1422,67883,2216124343,,,6,22,52,22,3,7251518,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 6, 'post': 22, 'downstream': 52, 'upstream': 22, 'mito': 3, 'dark': 2, 'medium': 1}, 'LO(R)': {'pre': 6, 'post': 22, 'downstream': 52, 'upstream': 22, 'mito': 3, 'dark': 2, 'medium': 1}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1423,4624,419880359,LHAV2i4_R,LHAV2i4,205,154,1898,154,114,343230800,Traced,False,Roughly traced,ADL04,305.0,"[2194, 27736, 24744]","{'SNP(R)': {'pre': 99, 'post': 53, 'downstream': 883, 'upstream': 53, 'mito': 24, 'dark': 23, 'light': 1}, 'SLP(R)': {'pre': 99, 'post': 53, 'downstream': 883, 'upstream': 53, 'mito': 24, 'dark': 23, 'light': 1}, 'LH(R)': {'pre': 104, 'post': 101, 'downstream': 1006, 'upstream': 101, 'mito': 68, 'dark': 67, 'light': 1}}",,"['LH(R)', 'SLP(R)', 'SNP(R)']","['LH(R)', 'SLP(R)', 'SNP(R)']"
1424,9375,574287006,,,47,44,473,44,8,41026928,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 47, 'post': 44, 'downstream': 473, 'upstream': 44, 'mito': 8, 'dark': 5, 'medium': 3}, 'SMP(L)': {'pre': 47, 'post': 44, 'downstream': 473, 'upstream': 44, 'mito': 8, 'dark': 5, 'medium': 3}}",,"['SMP(L)', 'SNP(L)']","['SMP(L)', 'SNP(L)']"
1425,40618,1635642433,,,0,0,0,0,12,48141310,Traced,True,Leaves,,306.5,"[370, 28473, 23280]",{},,[],[]
1426,618,265660453,,,96,285,726,285,76,204964257,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 76, 'post': 248, 'downstream': 561, 'upstream': 248, 'mito': 58, 'dark': 55, 'medium': 3}, 'SMP(L)': {'pre': 69, 'post': 246, 'downstream': 516, 'upstream': 246, 'mito': 53, 'dark': 50, 'medium': 3}, 'INP': {'pre': 9, 'post': 31, 'downstream': 73, 'upstream': 31, 'mito': 9, 'dark': 9}, 'ATL(L)': {'pre': 1, 'post': 23, 'downstream': 6, 'upstream': 23, 'mito': 3, 'dark': 3}, 'SIP(L)': {'pre': 7, 'post': 2, 'downstream': 45, 'upstream': 2, 'mito': 5, 'dark': 5}, 'CRE(L)': {'pre': 8, 'post': 8, 'downstream': 67, 'upstream': 8, 'mito': 6, 'dark': 6}, 'CRE(-RUB)(L)': {'pre': 8, 'post': 8, 'downstream': 67, 'upstream': 8, 'mito': 6, 'dark': 6}, 'LX(L)': {'pre': 11, 'post': 5, 'downstream': 92, 'upstream': 5, 'mito': 5, 'dark': 5}, 'LAL(L)': {'pre': 11, 'post': 5, 'downstream': 92, 'upstream': 5, 'mito': 4, 'dark': 4}}",,"['ATL(L)', 'CRE(-RUB)(L)', 'CRE(L)', 'INP', 'LAL(L)', 'LX(L)', 'SIP(L)', 'SMP(L)', 'SNP(L)']","['ATL(L)', 'CRE(-RUB)(L)', 'CRE(L)', 'INP', 'LAL(L)', 'LX(L)', 'SIP(L)', 'SMP(L)', 'SNP(L)']"
1427,65409,2154379074,,,15,17,103,17,4,9376131,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 15, 'post': 17, 'downstream': 103, 'upstream': 17, 'mito': 4, 'dark': 4}, 'LO(R)': {'pre': 15, 'post': 17, 'downstream': 103, 'upstream': 17, 'mito': 4, 'dark': 4}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1428,16935,883301712,,,0,0,0,0,5,40044998,Traced,True,Leaves,,286.0,"[217, 18574, 13008]",{},,[],[]
